hopcount;cpuusage;cputotal;numservices
5;0.0;4480000;44
4;0.0;2800;0
3;0.0;2800;0
2;0.0;2800;0
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
2;0.0;2800;0
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
2;0.0;2800;0
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
3;0.0;2800;0
2;0.0;2800;0
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
2;0.0;2800;0
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
2;0.0;2800;0
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
3;0.0;2800;0
2;0.0;2800;0
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
2;0.0;2800;0
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
2;0.0;2800;0
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
1;2499.999999999999;2800;1
