hopcount;requestratio
5;30;135.00000000000014
5;30;45.00000000000005
5;30;90.0000000000001
5;30;45.00000000000005
5;30;45.00000000000005
5;30;45.00000000000005
5;30;45.00000000000005
5;30;45.00000000000005
5;10;404.99999999999983
5;10;134.99999999999994
5;10;134.99999999999994
5;10;269.9999999999999
5;10;134.99999999999994
5;10;134.99999999999994
5;10;134.99999999999994
5;10;134.99999999999994
5;10;134.99999999999994
5;25;162.00000000000006
5;30;45.00000000000005
5;25;54.00000000000002
5;25;108.00000000000004
5;25;54.00000000000002
5;25;54.00000000000002
5;25;54.00000000000002
5;25;54.00000000000002
5;25;54.00000000000002
5;30;135.00000000000014
5;30;45.00000000000005
5;30;45.00000000000005
5;30;90.0000000000001
5;30;45.00000000000005
5;30;45.00000000000005
5;30;45.00000000000005
5;30;45.00000000000005
5;30;45.00000000000005
5;20;202.49999999999991
5;25;54.00000000000002
5;20;67.49999999999997
5;20;134.99999999999994
5;20;67.49999999999997
5;20;67.49999999999997
5;20;67.49999999999997
5;20;67.49999999999997
5;20;67.49999999999997
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
1;20;2.499999999999999
