hopcount;requestratio
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
1;30
